"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Cholesterol (mg)","Sodium (mg)"
"11/24/2013","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","18.94"
"11/24/2013","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","200"
"11/24/2013","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","211.50","70"
"11/24/2013","Sourdough Wheat Bread","Breakfast","1.0","Serving","90","0.50","4","17","0","120"
"11/24/2013","Butter, Unsalted","Breakfast","0.5","Teaspoon","17","1.92","0.2","0","5.9","0.26"
"11/24/2013","Brainwash Bacon Blue Burger","Lunch","1.0","Serving","892","60.92","74.1","7.52","237.18","1352.2"
"11/24/2013","French Fries","Lunch","1.0","Each","400","18","7","54","0","245"
"11/24/2013","Beer","Lunch","16.0","Fluid ounces","204","0","2.18","16.85","0","18.99"
"11/24/2013","Ketchup","Lunch","0.25","Cup","58","0.19","1.4","15.9","0","668.40"
"11/24/2013","Mustard, Yellow, Prepared","Lunch","0.25","Cup","40","2.41","2.62","3.20","0","681"
"11/24/2013","Beer","Dinner","4.0","Fluid ounces","51","0","0.55","4.21","0","4.75"
"11/24/2013","Cabbage, Kimchi Korean, Spicy, Marinated","Dinner","2.0","Ounces","15","0","1","2","0","240"
"11/24/2013","Pork, Carne Al Pastor, w/ Adobo Seasoning, Diced","Dinner","6.0","Ounces","180","6","28","2","80","580"
"11/24/2013","Rice, White, Medium Grain, Cooked","Dinner","0.5","Cup","121","0.20","2.21","26.59","0","0"
"11/24/2013","Chicken, Breast, Grilled","Dinner","3.0","Ounces","93","3","16.50","0","48.75","140"
"11/24/2013","Risotto","Dinner","1.5","Cups","900","0","18","198","0","1680"
"11/24/2013","Oil, Olive, Extra Virgin","Dinner","2.0","Teaspoons","80","9.33","0","0","0","0"
"11/24/2013","Pie, Pumpkin","Dinner","1.0","Piece","265","10.63","4.25","37.96","28.34","253.97"
"11/24/2013","Wine, Champagne","Dinner","4.0","Fluid ounces","91","0","0","2.20","0","0"
"11/24/2013","Beer","Dinner","12.0","Fluid ounces","153","0","1.64","12.64","0","14.24"
"11/24/2013","Drink, Sports, Lemon Lime, Powdered","Snacks","2.0","Scoops","155","0","0","40.66","0","257.28"
"11/24/2013","Crunchy Peanut Butter Bar","Snacks","1.0","Package","240","6","11","40","0","240"
"11/24/2013","Apple, Large","Snacks","1.0","Each","116","0.38","0.58","30.80","0","2.23"
"11/24/2013","Cafe Mocha; Nonfat; Medium","Snacks","16.0","Ounces","220","1","16","35","5","210"
"11/24/2013","Whipped Cream","Snacks","1.0","Serving","118","9","0","0","30","0"
"11/24/2013","TJ Very Cherry Berry Blend","Snacks","1.0","Serving","90","0","1","22","0","5"
"11/24/2013","Milk, 1%, w/ Vitamin A & D","Snacks","1.0","Cup","102","2.37","8.22","12.18","12.20","107.36"
"11/23/2013","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","18.94"
"11/23/2013","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","200"
"11/23/2013","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","211.50","70"
