"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Sugars (g)","Cholesterol (mg)","Sodium (mg)"
"06/15/2014","Tortilla, Flour, Burrito","Breakfast","1.0","Each","290","9","7","44","0","0","670"
"06/15/2014","Potatoes, Red, Baby, Cooked","Breakfast","1.0","Cup","151","0.26","3.91","33.30","2.43","0","20.40"
"06/15/2014","Sour Cream, Reg","Breakfast","1.0","Tablespoon","30","2.50","0.50","1","0.50","10","7.50"
"06/15/2014","Guacamole, Med","Breakfast","2.0","Tablespoons","54","4.60","0.80","3.70","0.30","0","119.50"
"06/15/2014","Egg, Scrambled, Large","Breakfast","2.0","Each","204","14.90","13.53","2.68","2.11","429.44","341.60"
"06/15/2014","Sausage, Chorizo, Pork & Beef, Link","Breakfast","0.5","Each","137","11.48","7.23","0.56","0","26.40","370.50"
"06/15/2014","Cheese, Cheddar, Extra Sharp","Breakfast","1.0","Ounce","110","9","7","0","0","30","180"
"06/15/2014","Butter, Unsalted","Breakfast","1.0","Tablespoon","102","11.52","0.12","0.1","0.1","30.53","1.56"
"06/15/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","18.94"
"06/15/2014","Yogurt Parfait","Lunch","1.0","Serving","320","3","10","64","44","10","180"
"06/15/2014","Apple, Large","Lunch","1.0","Each","116","0.38","0.58","30.80","23.17","0","2.23"
"06/15/2014","Ribeye Steak","Dinner","6.5","Ounces","439","34.13","32.50","0","0","97.50","97.50"
"06/15/2014","Brussels Sprouts - Microwaveable","Dinner","0.5","Package","105","6","4.50","10.50","3","0","90"
"06/15/2014","King's Delicious Nuts","Snacks","1.0","Package","70","6","3","2","0","0","95"
"06/15/2014","Toasted Chips","Snacks","1.0","Package","100","4","1","15","2","0","190"
"06/15/2014","Grapes, Red European","Snacks","3.0","Cups","313","0.72","3.26","81.99","70.12","0","9.6"
"06/15/2014","Banana, Medium, 7 - 7 7/8 Long","Snacks","1.0","Each","105","0.39","1.29","26.95","14.43","0","1.18"
"06/15/2014","Ginger Chew","Snacks","1.0","Piece","20","0","0","5","5","0","0"
"06/14/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","18.94"
"06/14/2014","Tortilla, Flour, Burrito","Breakfast","1.0","Each","290","9","7","44","0","0","670"
"06/14/2014","Egg, Scrambled, Large","Breakfast","2.0","Each","204","14.90","13.53","2.68","2.11","429.44","341.60"
"06/14/2014","Cheese, Cheddar, Extra Sharp","Breakfast","2.0","Ounces","220","18","14","0","0","60","360"
"06/14/2014","Bison, Ground, Cooked","Breakfast","3.0","Ounces","202","12.86","20.20","0","0","70.55","62.5"
