"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Cholesterol (mg)","Sodium (mg)"
"05/18/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","18.94"
"05/18/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","211.50","70"
"05/18/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","200"
"05/18/2014","Bread, Homestyle Cracked Wheat","Breakfast","1.0","Slice","80","1","3","16","0","160"
"05/18/2014","Sauce, Chili, Hot","Breakfast","1.0","Teaspoon","5","0","0","1","0","60"
"05/18/2014","Bread, White","Lunch","3.0","Slices","270","3","9","57","0","540"
"05/18/2014","Hummus","Lunch","1.0","Tablespoon","23","1.34","1.11","2","0","53.6"
"05/18/2014","Egg, Large","Lunch","0.5","Each","36","2.48","3.14","0.20","105.75","35"
"05/18/2014","Bacon, Cooked","Lunch","0.5","Piece","22","1.67","1.48","0.6","4.40","92.40"
"05/18/2014","Salmon","Lunch","1.0","Ounce","48","2.50","6","0","17.50","13.75"
"05/18/2014","Cream Cheese","Lunch","2.0","Teaspoons","33","3.31","0.57","0.39","10.63","31.3"
"05/18/2014","Dressing, Mayonnaise","Lunch","1.0","Teaspoon","30","3.33","0","0","1.67","30"
"05/18/2014","Cookie, Macaroon, Homemade","Lunch","2.0","Each","194","6.10","1.73","34.66","0","118.56"
"05/18/2014","Peach Berry Scone","Lunch","1.0","Serving","330","9","7","55","60","330"
"05/18/2014","Clotted Cream","Lunch","1.0","Tablespoon","70","7.50","0","0","22.50","2.50"
"05/18/2014","Beer","Dinner","12.0","Fluid ounces","153","0","1.64","12.64","0","14.24"
"05/18/2014","Cole Slaw, Classic","Dinner","2.5","Cups","110","3.70","1.83","17.58","11.33","32.58"
"05/18/2014","Mashed Potatoes, Homemade w/ Whole Milk & Butter","Dinner","1.5","Cups","356","13.29","5.86","52.95","34.65","998.55"
"05/18/2014","Bacon, Canadian, Cured","Dinner","3.0","Pieces","134","5.96","17.65","1.44","42.75","1204.69"
"05/18/2014","Sausage, Chorizo, Mild","Dinner","3.0","Ounces","315","25.50","18","4.50","75","1035"
"05/18/2014","Baby Back Ribs","Dinner","8.0","Ounces","560","48","32","0","160","150"
"05/18/2014","Rabbit, Wild","Dinner","3.0","Ounces","147","2.98","28.7","0","104.55","38.25"
"05/18/2014","Salmon","Dinner","4.0","Ounces","190","10","24","0","70","55"
"05/18/2014","Banana, Medium, 7 - 7 7/8 Long","Snacks","1.0","Each","105","0.39","1.29","26.95","0","1.18"
"05/18/2014","Ginger Chew","Snacks","3.0","Pieces","60","0","0","15","0","0"
"05/18/2014","Bacon, Cooked","Snacks","2.0","Pieces","87","6.68","5.93","0.23","17.60","369.60"
"05/18/2014","Chips, Tortilla, White Corn","Snacks","13.0","Pieces","130","6.50","1.86","13.93","0","74.29"
"05/18/2014","Pico De Gallo","Snacks","0.25","Cup","20","0","0","6","0","300"
"05/18/2014","Gin, 80 Proof","Snacks","1.0","Fluid ounce","65","0","0","0","0","0.28"
"05/18/2014","Beer","Snacks","12.0","Fluid ounces","153","0","1.64","12.64","0","14.24"
"05/18/2014","Chocolate, Squares, Dark Chocolate","Snacks","1.0","Ounce","137","9.12","1.30","17.58","3.26","0"
"05/18/2014","French Vanilla Ice Cream","Snacks","0.5","Cup","170","9","3","13","40","50"
"05/17/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","18.94"
"05/17/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","211.50","70"
"05/17/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","200"
"05/17/2014","Bread, Homestyle Cracked Wheat","Breakfast","1.0","Slice","80","1","3","16","0","160"
"05/17/2014","Sauce, Chili, Hot","Breakfast","1.0","Teaspoon","5","0","0","1","0","60"
"05/17/2014","Beer","Lunch","16.0","Fluid ounces","204","0","2.18","16.85","0","18.99"
"05/17/2014","Salmon","Lunch","4.0","Ounces","190","10","24","0","70","55"
"05/17/2014","Dressing, Balsamic Vinaigrette","Lunch","2.0","Tablespoons","100","11","0","2","0","60"
"05/17/2014","Salad, Field Greens","Lunch","3.0","Cups","67","0.29","5.20","13.40","0","108.16"
"05/17/2014","Gummi Bears","Dinner","22.0","Pieces","191","0","4.40","45.47","0","22"
"05/17/2014","Chips, Tortilla, White Corn","Dinner","15.0","Pieces","150","7.50","2.14","16.7","0","85.71"
"05/17/2014","Guacamole, Med","Dinner","1.5","Tablespoons","41","3.45","0.60","2.77","0","89.63"
"05/17/2014","Fruit Salad, In Water, Canned","Dinner","0.5","Cup","37","0.9","0.43","9.64","0","3.67"
"05/17/2014","Beer","Dinner","12.0","Fluid ounces","153","0","1.64","12.64","0","14.24"
"05/17/2014","Pizza 14 (Amici's Combo Scaled)","Dinner","0.25","Each","570","29","25","52","70","570"
"05/17/2014","Beer","Dinner","12.0","Fluid ounces","153","0","1.64","12.64","0","14.24"
"05/17/2014","Wine, Red","Dinner","4.0","Fluid ounces","100","0","0.8","3.7","0","4.70"
"05/17/2014","Wine, Champagne","Dinner","4.0","Fluid ounces","91","0","0","2.20","0","0"
"05/17/2014","Wine, Champagne","Dinner","4.0","Fluid ounces","91","0","0","2.20","0","0"
"05/17/2014","Banana, Medium, 7 - 7 7/8 Long","Snacks","1.0","Each","105","0.39","1.29","26.95","0","1.18"
"05/17/2014","Ginger Chew","Snacks","4.0","Pieces","80","0","0","20","0","0"
"05/17/2014","Matcha Green Tea Fraedo","Snacks","1.0","Serving","260","6","7","45","25","210"
"05/17/2014","dolma","Snacks","1.0","Piece","35","n/a","n/a","n/a","n/a","n/a"
"05/17/2014","Cheese, Blue, Cube","Snacks","0.5","Ounce","50","4.7","3.3","0.33","10.63","197.74"
