"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Sugars (g)","Cholesterol (mg)","Sodium (mg)"
"06/08/2014","Egg, Scrambled, Large","Breakfast","1.0","Each","102","7.45","6.76","1.34","1.6","214.72","170.80"
"06/08/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","18.94"
"06/08/2014","Wine, Champagne","Lunch","3.0","Fluid ounces","68","0","0","1.65","0","0","0"
"06/08/2014","Juice, Orange","Lunch","3.0","Fluid ounces","42","0.19","0.65","9.67","7.81","0","0.93"
"06/08/2014","Egg, Poached, Large","Lunch","2.0","Each","142","9.90","12.52","0.78","0.77","422","294"
"06/08/2014","Corned Beef","Lunch","6.0","Ounces","285","16.50","30","3","3","90","2430"
"06/08/2014","Potatoes, Red, Baby, Cooked","Lunch","1.0","Cup","151","0.26","3.91","33.30","2.43","0","20.40"
"06/08/2014","Biscuit","Lunch","1.0","Each","186","8.41","3.16","24.73","1.77","0.51","536.52"
"06/08/2014","Brainwash Bacon Blue Burger","Lunch","0.125","Serving","112","7.62","9.25","0.94","0.46","29.65","169"
"06/08/2014","Chips, Tortilla, White Corn","Dinner","15.0","Pieces","150","7.50","2.14","16.7","0","0","85.71"
"06/08/2014","Salsa Autentica","Dinner","0.25","Cup","20","0","0","4","0","0","520"
"06/08/2014","Beer","Dinner","16.0","Fluid ounces","204","0","2.18","16.85","0","0","18.99"
"06/08/2014","Black Beans","Dinner","1.0","Cup","220","0","14","40","4","0","860"
"06/08/2014","Plantain, Slices, Cooked","Dinner","0.5","Cup","89","0.14","0.61","23.99","10.78","0","3.85"
"06/08/2014","Vegetables, Mixed, Canned","Dinner","1.0","Cup","80","0.41","4.22","15.9","3.93","0","242.87"
"06/08/2014","Dressing, Balsamic Vinaigrette","Dinner","2.0","Tablespoons","100","11","0","2","2","0","60"
"06/08/2014","Tortilla, Corn","Dinner","4.0","Each","209","2.74","5.47","42.85","0.84","0","43.20"
"06/08/2014","Sour Cream, Reg","Dinner","1.0","Teaspoon","10","0.83","0.17","0.33","0.17","3.33","2.50"
"06/08/2014","Beer","Snacks","8.5","Fluid ounces","108","0","1.16","8.95","0","0","10.9"
"06/08/2014","Pineapple, Chunks","Snacks","1.0","Cup","83","0.20","0.89","21.65","16.25","0","1.65"
"06/08/2014","Chips, Potato, Backyard Barbeque","Snacks","2.0","Ounces","300","18","4","30","2","0","340"
"06/08/2014","Cookies, Milano","Snacks","1.0","Package","180","10","2","21","11","10","80"
"06/08/2014","Beer","Snacks","8.0","Fluid ounces","102","0","1.9","8.43","0","0","9.49"
