"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Sugars (g)","Fiber (g)","Cholesterol (mg)","Sodium (mg)"
"02/15/2015","Starbucks Greek Yogurt W Berries","Breakfast","1.0","Serving","220","3","14","36","19","3","n/a","n/a"
"02/15/2015","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"02/15/2015","Chicken Breast Skinless - Raw","Lunch","4.0","Ounces","120","2","25","0","0","0","70","10"
"02/15/2015","Hummus","Lunch","0.5","Cup","186","10.75","8.85","16","0","6.72","0","424.48"
"02/15/2015","Bread, Pita, White","Lunch","1.0","Each","165","0.72","5.46","33.42","0.78","1.32","0","321.60"
"02/15/2015","Radishes, Pickled, Hawaiian Style","Lunch","0.5","Cup","21","0.23","0.83","3.90","1.50","1.65","0","591.75"
"02/15/2015","Beer","Dinner","12.0","Fluid ounces","153","0","1.64","12.64","0","0","0","14.24"
"02/15/2015","Beef Bowl - Regular","Dinner","1.0","Serving","730","240","30","91","5","3","70","1310"
"02/15/2015","Rice, White, Medium Grain, Cooked","Dinner","0.75","Cup","181","0.29","3.32","39.88","0","0.42","0","0"
"02/14/2015","Sandwich, Turkey Bacon with Egg Whites, on English Muffin","Breakfast","1.0","Each","230","7","18","43","n/a","3","n/a","n/a"
"02/14/2015","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"02/14/2015","Donut, Chocolate Frosted","Breakfast","1.0","Each","270","15","3","31","13","1","0","340"
"02/14/2015","Cream, Half & Half","Breakfast","2.0","Tablespoons","39","3.45","0.89","1.29","0.5","0","11.10","12.30"
"02/14/2015","Beef, Tri Tip Roast, Trimmed","Lunch","8.0","Ounces","437","22.5","59.70","0","0","0","188.13","122.40"
"02/14/2015","Bread, French Baguette","Lunch","4.0","Ounces","272","0.80","9.99","55.97","0","1.20","0","607.65"
"02/14/2015","French Fries","Lunch","1.0","Each","400","18","7","54","0","2","0","245"
"02/14/2015","Potatoes, Russet, w/ Skin, Baked, Large, 3 - 4 1/4","Lunch","1.0","Each","281","0.45","6.28","63.3","4.16","6.28","0","20.93"
"02/14/2015","Beer","Dinner","12.0","Fluid ounces","153","0","1.64","12.64","0","0","0","14.24"
"02/14/2015","Fish Fillet, Breaded Fried","Dinner","6.0","Ounces","394","20.89","24.92","28.85","0","0.85","57.80","904.40"
