"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Cholesterol (mg)","Sodium (mg)"
"03/03/2013","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","200"
"03/03/2013","Egg, Scrambled, Large","Breakfast","0.5","Each","51","3.72","3.38","0.67","107.36","85.40"
"03/03/2013","Flaxseed Sprouted Wheat Bread","Breakfast","1.0","Slice","50","1","3","9","0","50"
"03/03/2013","Butter, Unsalted","Breakfast","1.0","Teaspoon","34","3.84","0.4","0","10.18","0.52"
"03/03/2013","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","18.94"
"03/03/2013","Pesto alla Genovese","Breakfast","0.125","Serving","31","3.25","0.38","0.38","0","105"
"03/03/2013","Lettuce, Iceberg, Shredded","Lunch","2.0","Cups","20","0.20","1.30","4.28","0","14.40"
"03/03/2013","Salad Dressing, Blue Cheese","Lunch","5.0","Tablespoons","357","38.33","1.3","3.46","23.25","697.50"
"03/03/2013","Croutons, Plain","Lunch","0.25","Cup","31","0.50","0.89","5.51","0","52.35"
"03/03/2013","Bacon, Cooked","Lunch","2.0","Pieces","87","6.68","5.93","0.23","17.60","369.60"
"03/03/2013","Ground Beef, 70% Lean","Lunch","0.5","Pound","619","41.28","57.53","0","185.87","183.60"
"03/03/2013","Cheese, Blue, Crumbled","Lunch","2.0","Tablespoons","60","4.85","3.61","0.39","12.66","235.41"
"03/03/2013","French Fries, Large, Fast Food","Lunch","0.5","Each","270","14.41","3.18","31.70","0","163.93"
"03/03/2013","Bread, Challah","Lunch","1.0","Each","210","3","8","39","10","260"
"03/03/2013","Mac & Cheese (Diet Paula Deen)","Dinner","2.667","Servings","684","25.93","38.62","66.54","79.63","651.59"
"03/03/2013","Brussel Sprouts","Dinner","2.5","Servings","100","0","7.50","20","0","50"
"03/03/2013","Gatorade Drink, Lime","Snacks","32.0","Fluid ounces","213","0","0","56","0","426.67"
"03/03/2013","Energy Gel, Espresso Love","Snacks","1.0","Serving","100","0","0","25","0","50"
"03/03/2013","Energy Gel, Jet Blackberry","Snacks","1.0","Package","100","0","0","25","0","45"
"03/03/2013","Ice Cream, Brownie Batter","Snacks","0.333","Cup","193","11.32","3.33","21.31","43.29","76.59"
"03/03/2013","Soda, Barq's, Root Beer","Snacks","12.0","Fluid ounces","165","0","0","45","0","75"
"03/03/2013","Banana Bread","Snacks","3.5","Servings","371","13.82","8.61","56.96","35.90","255.3"
"03/02/2013","French Toast (flaxseed)","Breakfast","1.0","Serving","268","14.41","16.96","19.93","230.67","367.35"
"03/02/2013","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","18.94"
"03/02/2013","Cream Cheese","Breakfast","1.0","Tablespoon","50","4.96","0.86","0.59","15.95","46.55"
"03/02/2013","Syrup, Maple","Breakfast","1.0","Tablespoon","52","0.4","0","13.42","0","1.80"
"03/02/2013","Soup, Low-Fat Chicken Noodle","Lunch","1.0","Each","120","1.50","8","22","25","1380"
"03/02/2013","Sandwich Roasted Turkey And Avocado BLT","Lunch","1.0","Serving","510","n/a","n/a","n/a","n/a","n/a"
"03/02/2013","Pickles, Dill, Large, 4","Lunch","0.25","Each","4","0.5","0.20","0.87","0","295.31"
"03/02/2013","Apple, Medium","Lunch","1.0","Each","95","0.31","0.47","25.13","0","1.82"
"03/02/2013","Lite Shredded Three Cheese Blend","Dinner","2.0","Tablespoons","40","2","4","0.50","7.50","67.50"
"03/02/2013","Sour Cream, Light","Dinner","2.0","Tablespoons","41","3.18","1.5","2.13","10.50","21.30"
"03/02/2013","Tortilla, Corn","Dinner","2.0","Each","105","1.37","2.74","21.43","0","21.60"
"03/02/2013","Corn, Yellow, Super Sweet","Dinner","1.5","Each","210","1.50","7.50","49.50","0","7.50"
"03/02/2013","Tacos (Pollo No Tortilla)","Dinner","2.0","Servings","322","16.27","20.60","25.7","36.55","428.86"
"03/02/2013","Butter, Unsalted","Dinner","1.0","Teaspoon","34","3.84","0.4","0","10.18","0.52"
"03/02/2013","Oranges, Med, Fresh","Snacks","1.0","Each","62","0.16","1.23","15.39","0","0"
"03/02/2013","Grapes","Snacks","1.0","Cup","62","0.32","0.58","15.78","0","1.84"
"03/01/2013","Tortilla, Corn","Breakfast","2.0","Each","105","1.37","2.74","21.43","0","21.60"
"03/01/2013","Egg Whites","Breakfast","0.25","Cup","33","0","6.67","0","0","100"
"03/01/2013","Egg, Scrambled, Large","Breakfast","1.0","Each","102","7.45","6.76","1.34","214.72","170.80"
"03/01/2013","Lite Shredded Three Cheese Blend","Breakfast","1.0","Tablespoon","20","1","2","0.25","3.75","33.75"
"03/01/2013","Sauce, Hot","Breakfast","1.0","Teaspoon","0","0","0","0","0","50"
"03/01/2013","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","18.94"
"03/01/2013","California Cobb Salad","Lunch","1.0","Serving","420","31","25","10","165","1010"
"03/01/2013","Soybeans, Edamame, Ckd","Dinner","0.5","Cup","127","5.76","11.12","9.95","0","12.60"
"03/01/2013","Squash, Tempura Battered","Dinner","2.0","Each","300","16","2","34","0","1820"
"03/01/2013","Sushi, Nigiri, Fresh Salmon","Dinner","2.0","Each","136","2","10","18","16","58"
"03/01/2013","Sushi, Nigiri, Tuna","Dinner","1.0","Each","60","0","4","8","9","28"
"03/01/2013","Sushi, Tempura Roll","Dinner","3.0","Each","199","4.13","9.38","30.75","39.38","432"
"03/01/2013","Sushi, California Roll Plus","Dinner","5.0","Each","309","6.25","8.75","54.75","0","529.38"
"03/01/2013","Tea, Brewed w/ Tap Water","Snacks","1.5","Cups","4","0","0","1.7","0","10.66"
"03/01/2013","Tea, Brewed w/ Tap Water","Snacks","1.5","Cups","4","0","0","1.7","0","10.66"
"03/01/2013","Beer","Snacks","16.0","Fluid Ounces","204","0","2.18","16.85","0","18.99"
"02/28/2013","Pancakes (Beer)","Breakfast","2.0","Servings","253","5.41","8.7","40.23","0","521.16"
"02/28/2013","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","18.94"
"02/28/2013","Syrup, Maple","Breakfast","1.0","Tablespoon","52","0.4","0","13.42","0","1.80"
"02/28/2013","California Cobb Salad","Lunch","1.0","Serving","420","31","25","10","165","1010"
"02/28/2013","Trader Joe's Chicken Lasagna","Dinner","2.0","Cups","600","26","38","52","110","820"
"02/28/2013","Trader Joes Stuffed Red Bell Peppers","Dinner","2.0","Servings","420","22","26","30","130","1260"
"02/28/2013","Tea, Brewed w/ Tap Water","Snacks","1.5","Cups","4","0","0","1.7","0","10.66"
"02/28/2013","Apple, Medium","Snacks","1.0","Each","95","0.31","0.47","25.13","0","1.82"
"02/28/2013","Tea, Brewed w/ Tap Water","Snacks","1.5","Cups","4","0","0","1.7","0","10.66"
"02/28/2013","Tea, Brewed w/ Tap Water","Snacks","1.5","Cups","4","0","0","1.7","0","10.66"
"02/27/2013","Tortilla, Corn","Breakfast","2.0","Each","105","1.37","2.74","21.43","0","21.60"
"02/27/2013","Egg Whites","Breakfast","0.25","Cup","33","0","6.67","0","0","100"
"02/27/2013","Egg, Scrambled, Large","Breakfast","1.0","Each","102","7.45","6.76","1.34","214.72","170.80"
"02/27/2013","Lite Shredded Three Cheese Blend","Breakfast","1.0","Teaspoon","7","0.33","0.67","0.8","1.25","11.25"
"02/27/2013","Cream Cheese","Breakfast","1.0","Teaspoon","10","0.75","0.50","0.50","3.33","17.50"
"02/27/2013","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","18.94"
"02/27/2013","Chicken, Roasted Jerk, Breast","Lunch","1.25","Each","400","22.50","0","1025","0","206.25"
"02/27/2013","Cauliflower, Cooked","Lunch","1.0","Cup","29","0.56","2.28","5.10","0","18.60"
"02/27/2013","Apple, Medium","Lunch","1.0","Each","95","0.31","0.47","25.13","0","1.82"
"02/27/2013","Thai Yellow Curry Sauce","Dinner","0.667","Cup","267","18.68","2.67","24.1","n/a","2187.76"
"02/27/2013","Eggplant, Whole","Dinner","0.5","Each","55","0.44","2.31","13.5","0","4.58"
"02/27/2013","Rice, Brown, Medium Grain, Cooked","Dinner","1.0","Cup","230","2","5","49","0","1.95"
"02/27/2013","Chicken Breast, Skinless, Cooked","Dinner","0.5","Each","71","1.54","13.34","0","36.55","31.82"
"02/27/2013","Apple, Medium","Snacks","1.0","Each","95","0.31","0.47","25.13","0","1.82"
"02/27/2013","Tea, Brewed w/ Tap Water","Snacks","1.5","Cups","4","0","0","1.7","0","10.66"
"02/27/2013","Tea, Brewed w/ Tap Water","Snacks","1.5","Cups","4","0","0","1.7","0","10.66"
"02/27/2013","Tea, Brewed w/ Tap Water","Snacks","1.5","Cups","4","0","0","1.7","0","10.66"
"02/27/2013","Tea, Brewed w/ Tap Water","Snacks","1.5","Cups","4","0","0","1.7","0","10.66"
"02/27/2013","Whiskey, 80 Proof","Snacks","3.0","Fluid ounces","193","0","0","0","0","0.83"
"02/27/2013","Apple, Large","Snacks","1.0","Each","116","0.38","0.58","30.80","0","2.23"
"02/26/2013","Egg, Scrambled, Large","Breakfast","1.0","Each","102","7.45","6.76","1.34","214.72","170.80"
"02/26/2013","Egg Whites","Breakfast","0.25","Cup","33","0","6.67","0","0","100"
"02/26/2013","Flaxseed Sprouted Wheat Bread","Breakfast","1.0","Slice","50","1","3","9","0","50"
"02/26/2013","Lite Shredded Three Cheese Blend","Breakfast","0.125","Cup","40","2","4","0.50","7.50","67.50"
"02/26/2013","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","18.94"
"02/26/2013","Rolls, Hoagie, Whole Wheat, Lrg","Lunch","1.0","Each","359","6.34","11.74","68.98","0","645.30"
"02/26/2013","Cheese, Cheddar, Slice","Lunch","1.0","Each","113","9.28","6.97","0.36","29.40","173.88"
